conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario
12	303	31064	I already pay my bill amount RM 92.00. Can you release of suspended	1465109394	1478	0	13	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	True	RequestUnbar
32	785	34418	WHY BAR MY LINE?	1465192598	1636	0	4	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Reason	False	WhyBar
32	788	34429	PLS UN BAR IT as soon as possible	1465192624	1636	0	8	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Request	False	RequestUnbar
39	1019	37396	My account already suspended. What is min amount to pay to activate the account?	1465268147	1759	0	14	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectNumeric	False	CheckUnbarAmount
40	1042	37891	i was made d payment.. can u unbarred d line	1465272697	1775	0	10	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	False	RequestUnbar
42	1083	37973	hi<NL>if now my phone status is suspended(barred), after i pay, how long is needed that we can continue to use the phone?<NL>thanks	1465273909	1780	0	22	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	ObjectTime	False	CheckUnbarTime
45	1147	38350	Hi, my phone line is suspended / barrred because of outstanding payment due. I have earlier settled the outstaning. Please reactivate my phone line soonest. Thks!	1465278985	1794	0	26	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	False	RequestUnbar
47	1177	38812	why my redone line is barred?	1465285335	1816	0	6	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Reason	False	WhyBar
55	1349	47756	0105099996 why still suspended ???	1465535411	2179	0	5	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	WhyBar
55	1357	47764	please help me reconnect it	1465535679	2179	0	5	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Request	False	RequestUnbar
63	1543	51119	which 1 is the fastest way...after i made pymt, how long it takes to unsuspended my line?	1465698407	2323	0	17	English	Billing	Payment Channel	Billing	Barring	ObjectTime	False	CheckUnbarTime
85	2145	55086	and help me open back	1465818902	2495	0	5	English	Billing	Unsuspend lines - (Within 50 days)	Billing	None	Request	False	None
85	2150	55091	is open back all number or?	1465819033	2495	0	6	English	Billing	Unsuspend lines - (Within 50 days)	Billing	None	Object	False	None
88	2207	56649	Hello. my name is hafiz. i already pay mybill. but, why i don't have line at my phone?	1465887559	2581	0	18	English	Billing	Unsuspend lines - (Within 50 days)	Billing	Barring	Reason	False	WhyBar
91	2269	57597	Hi, I've made my payment. Can you unbar me?	1465948873	2629	0	9	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Request	False	RequestUnbar
91	2279	57621	Please inform me once I've been unbarred. Thanks :)	1465949141	2629	0	9	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Request	False	RequestUnbar
92	2299	57755	Hello, why is my account status barred?	1465950367	2638	0	7	English	Billing	Increase credit limit	Billing	Barring	Reason	False	WhyBar
94	2354	57900	011 - 1915164 line barred	1465952739	2646	0	3	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectName	False	LineStatus
94	2370	57974	ok. Noted. plz unbar the other line	1465953216	2646	0	7	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Request	False	RequestUnbar
99	2474	58353	My account been barred<NL>How much i need to pay to activate?	1465957190	2667	0	11	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectNumeric	False	CheckUnbarAmount
99	2485	58401	If i pay now when my line will unbarred?	1465957625	2667	0	9	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectTime	False	CheckUnbarTime
105	2585	59824	Hi can you unbarred my number	1465970918	2736	0	6	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	Barring	Request	False	RequestUnbar
112	2784	62341	my red 1 stil bar... after payment...	1466035518	2826	0	7	English	Billing	Payment Channel	Billing	Barring	Reason	False	WhyStillBar
113	2797	62295	Morning. Hi<NL>My redone just barred yesterday.<NL>I just pay the bill this morning	1466034409	2827	0	12	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Reason	False	WhyStillBar
113	2799	62298	How long does it take to reconnect my redone?	1466034436	2827	0	9	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	ObjectTime	False	CheckUnbarTime
114	2831	62303	how much i need to pay to reconnect my line?	1466034538	2828	0	10	English	Billing	Billing Details	Billing	Barring	ObjectNumeric	False	CheckUnbarAmount
116	2861	62422	Pls help me active account	1466036561	2834	0	5	English	Billing	Payment Status	Billing	Barring	Request	False	RequestUnbar
117	2900	62496	Unbarred my line	1466037219	2837	0	3	English	Billing	Un-bar lines - Overdue Payment	Billing	Barring	Request	False	RequestUnbar
