conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario
1	2	27665	Victoria has accepted the chat!	1465004883	1317	-1	5	English	Billing	Billing Details	None	None	None	False	None
1	3	27666	Welcome to redONE Live Chat.	1465004897	1317	7	5	English	Billing	Billing Details	None	None	None	False	None
1	4	27667	May i know with whom am I chatting with?	1465004901	1317	7	9	English	Billing	Billing Details	None	None	None	False	None
1	5	27668	ANIS SAFIAH BINTI MOHD SHOKOR	1465004921	1317	0	5	English	Billing	Billing Details	None	None	None	False	None
1	6	27670	Before we proceed with you request, kindly provide your mobile number and your NRIC for verification.	1465004955	1317	7	16	English	Billing	Billing Details	None	None	None	False	None
1	7	27673	174933543	1465004971	1317	0	1	English	Billing	Billing Details	None	None	None	False	None
1	8	27674	9.31213E+11	1465004979	1317	0	1	English	Billing	Billing Details	None	None	None	False	None
1	9	27676	Thank you for the verification, Ms. Anis.	1465005042	1317	7	7	English	Billing	Billing Details	None	None	None	False	None
1	10	27684	Kindly refer to View Bill in Self Care Login under July 2016 Bill as you will need to clear the outstanding of RM 43.39 by end of 30 th June 2016. This is actually you latest bill, Ms. Anis.	1465005132	1317	7	38	English	Billing	Billing Details	None	None	None	False	None
1	12	27700	I pay it using cimb click	1465005241	1317	0	6	English	Billing	Billing Details	None	None	None	False	None
1	13	27711	Ms. Anis, RM 24.49 is you April usage which will be out on May 2016 Bill. RM 43.39 is your May usage which will be out on June 2016 Bill.	1465005464	1317	7	29	English	Billing	Billing Details	None	None	None	False	None
1	14	27714	We had received your payment of RM 24.49. 	1465005495	1317	7	7	English	Billing	Billing Details	None	None	None	False	None
1	15	27730	We had received it on 8 th May 2016 via online banking.	1465005707	1317	7	11	English	Billing	Billing Details	None	None	None	False	None
1	16	27760	Ms. Anis, are you still online?	1465006128	1317	7	6	English	Billing	Billing Details	None	None	None	False	None
1	17	27810	Ms. Anis, are you still online?	1465006532	1317	7	6	English	Billing	Billing Details	None	None	None	False	None
1	18	27825	Ms. Anis, are you still online?	1465006654	1317	7	6	English	Billing	Billing Details	None	None	None	False	None
1	19	27847	Since there is no reply from your end, I would like to end the Conversation. <NL>Thank you for choosing redONE. Have a nice day!	1465006847	1317	7	24	English	Billing	Billing Details	None	None	None	False	None
1	20	27848	victoria.devaraj (victoria.devaraj@redone.com.my) has closed the chat!	1465006855	1317	-1	6	English	Billing	Billing Details	None	None	None	False	None
2	22	27761	Victoria has accepted the chat!	1465006129	1323	-1	5	English	Billing	Billing Details	None	None	None	False	None
2	23	27763	Welcome to redONE Live Chat.	1465006139	1323	7	5	English	Billing	Billing Details	None	None	None	False	None
2	24	27764	May i know with whom am I chatting with?	1465006143	1323	7	9	English	Billing	Billing Details	None	None	None	False	None
2	25	27765	rohaiza	1465006159	1323	0	1	English	Billing	Billing Details	None	None	None	False	None
2	26	27766	Ms. Iza, before we proceed with you request, kindly provide your full name and your NRIC for verification.	1465006162	1323	7	18	English	Billing	Billing Details	None	None	None	False	None
2	27	27780	ROHAIZA BAHALDIN	1465006294	1323	0	2	English	Billing	Billing Details	None	None	None	False	None
2	28	27782	7.70515E+11	1465006303	1323	0	1	English	Billing	Billing Details	None	None	None	False	None
2	29	27798	Thank you for the verification and may I know which mobile number that you request me to check on?	1465006410	1323	7	19	English	Billing	Billing Details	None	None	None	False	None
2	30	27800	105660041	1465006430	1323	0	1	English	Billing	Billing Details	None	None	None	False	None
2	31	27809	Thank you, Ms. Iza. As per check, your contract will be ended on 4 th July 2016. 	1465006513	1323	7	16	English	Billing	Billing Details	None	None	None	False	None
