conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario							
3	41	27919	can i knw the latest bill already pay or not yet	1465009306	1333	0	11	English	Billing	Billing Details	Billing	BillOutstanding	ObjectNumeric	True	BillAmount							
29	731	33912	"I want to know the total amount paid. I am sure RedOne can work out, can;t he?"	1465187107	1611	0	17	English	Billing	Billing Details	Billing	PaymentStatus	ObjectNumeric	True	LastPayment							
31	761	34019	"Successfully made monthly bill payment. However, this is no shown in the system"	1465188166	1618	0	13	English	Billing	Payment Status	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
56	1366	47800	I pay repay for bill payment did receive.	1465536872	2183	0	8	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
61	1483	48653	can you check for me whether it is updated?	1465545445	2216	0	9	English	Billing	Billing Details	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
67	1670	51466	so that payment was a successful 1?	1465708012	2339	0	7	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	ConfirmPaymentReceived							
71	1742	52354	"can u help me check,my bill may is pay or not?"	1465779895	2383	0	11	English	Billing	Payment Status	Billing	BillOutstanding	ObjectNumeric	True	BillAmount							
78	1932	54358	WHY I NOT RECEIVING STATEMENT REDONE EVERY MONTH? ONLY RECEIVE SMS	1465807892	2463	0	11	English	Billing	Billing Cycle	Billing	Document	Reason	False	RequestSendEveryMonth							
90	2251	57440	"Hi Cust Service, please check whether you have received my email on the receipt for outstanding payment ?"	1465905940	2618	0	18	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	True	PaymentStatusOthers							
93	2330	57852	my bill total amount is 342.17 ?<NL>but i have make payment on 1 / 6 / 2016. but didn't show at my bill i have paid	1465952217	2643	0	20	English	Billing	Un-bar lines - Overdue Payment	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
93	2344	58025	i already make the payment 243.00 	1465953464	2643	0	6	English	Billing	Un-bar lines - Overdue Payment	Billing	PaymentStatus	None	False	InformPayment							
