conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario
5	124	28195	want to check my product charge for may	1465013018	1348	0	8	English	Billing	Product Charges	Billing	BillBreakdown	ObjectNumeric	False	ItemAmount
27	644	33737	Hi,can I know what is meant by product charges in my bill?	1465184547	1604	0	12	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	True	ItemDefinition
27	655	33788	i still don't understand what the product charges	1465185059	1604	0	8	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
27	656	33791	and i don't understand why i was charged for that	1465185100	1604	0	10	English	Billing	Product Charges	Billing	None	Reason	False	None
49	1207	39759	Hello, may i know why there is a debit movement on june bill	1465302876	1850	0	13	English	Billing	Billing Details	Billing	BillBreakdown	Reason	True	WhyItemAmount
54	1324	45122	sorry...but why this month bill 26.44 ?	1465452151	2074	0	6	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	TotalBreakdown
54	1341	45321	Call Utilisation(as per To-date) for both line is 16.94 	1465454003	2074	0	9	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount
61	1477	48626	can i know the breakdown?	1465545139	2216	0	5	English	Billing	Billing Details	Billing	BillBreakdown	ObjectNumeric	True	TotalBreakdown
92	2314	57808	im checking my bill but i cannot understand. i pay every end of month. :)	1465950932	2638	0	15	English	Billing	Increase credit limit	Billing	BillBreakdown	Reason	False	TotalBreakdown
95	2377	58097	Hi.. i dont understand my bill.. i got text message of remit payment RM 33.31 but when i view my bill total current utilisation is RM 63.17. may i know when is the date of my bill? then..how to purchase 3 gb of data plan?	1465954167	2654	0	42	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	TotalBreakdown
138	3457	70765	hi, o need confirm why my data got other charge	1466321857	3199	0	10	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount
138	3495	70835	what the mean Product Charges	1466323875	3199	0	5	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
155	3859	78816	my phone is 0122961482 ?why d product charge is rm 39 ? 4 line rm 32 ?top up 500 mb for 0122360482 rm 15. then how come ppu charge rm 6 ???	1466733693	3600	0	22	English	Billing	Product Charges	Billing	BillBreakdown	Reason	False	WhyItemAmount
219	5326	108381	what does 'balance brought forward' mean? is it unsettled bill from last month?	1467699467	4896	0	13	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
226	5508	109171	wht is the different in the column "balance brought forward" and the column "total amount due"??	1467718527	4934	0	16	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
226	5522	109192	sure, thanks for your information<NL><NL>im hv a little bit confuse on the 1 )"balance brought forward" and the column 2 )"total amount due"<NL><NL>how come 2 ) is greater than 1 )?	1467719159	4934	0	27	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
238	5854	111234	May i know what is the product charges<NL>?	1467895270	5016	0	8	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	True	ItemDefinition
241	5894	111469	i dont understand with my bill	1467946841	5028	0	6	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	TotalBreakdown
241	5900	111483	how come there is a total current utilisation 0 f 19.20 	1467946926	5028	0	10	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount
241	5901	111493	how come there is a product charges for 26 ?	1467946982	5028	0	9	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount
241	5910	111514	why i need to pay for the product charge on july 26.00 ?	1467947326	5028	0	12	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount
241	5912	111520	i just need to pay for the call to other line or sms?	1467947392	5028	0	13	English	Billing	Billing Details	Billing	None	Others	TRUE	None
259	6372	114815	hi..got some q on y bill..what is product charge	1468146294	5167	0	9	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
273	6731	120647	what is product charges?	1468381932	5421	0	4	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
301	7418	145525	i just want to use in online bill, whitch 1 the amount that i need to pay?	1469013535	6453	0	17	English	Billing	Billing Details	Billing	BillOutstanding	ObjectNumeric	False	WhyBillAmount
301	7421	145532	so credit movement for what?	1469013633	6453	0	5	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
301	7424	145535	Ok so total current utilisation is total used now?	1469013771	6453	0	9	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	True	ItemDefinition
301	7430	145542	why for AUGUST bil now Balance brought foward ( RM 36.74 ) + Total current utilisation ( RM 37.37 ) = RM 74.11 	1469014279	6453	0	17	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	ItemDefinition
301	7434	145547	Owh but i think i already make a payment RM 80.00 for last month	1469014423	6453	0	13	English	Billing	Billing Details	Billing	None	Reason	False	None
331	8121	170892	may I have jan-march 2016 bill?	1470044393	7563	0	6	English	Billing	Billing Details	Billing	Document	Request	True	RequestSendBill
336	8214	171621	Hello. Can I know that why there is another product charges of RM 8 in my redONE bill?	1470052378	7598	0	17	English	Billing	Product Charges	Billing	BillBreakdown	Reason	True	WhyItemAmount
336	8221	171635	So, may I know about the product charge?	1470052615	7598	0	8	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	True	ItemDefinition
336	8223	171641	How can I calculate for the figure charged on it ?	1470052686	7598	0	11	English	Billing	Product Charges	Billing	None	Procedure	False	None
336	8225	171648	My sister who owns redONE line too has the different amount on the product charges	1470052807	7598	0	15	English	Billing	Product Charges	Billing	BillBreakdown	None	False	None
339	8289	178938	1 main 2 sup, all data 8 plan, how the product charges could be RM 34.00 	1470210236	7925	0	14	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount
339	8292	178952	please check my July's usage	1470210386	7925	0	5	English	Billing	Billing Details	Billing	BillBreakdown	Request	False	TotalBreakdown
340	8304	179015	pls check if mu Aug or July bill incl 2 months?	1470211273	7927	0	11	English	Billing	Billing Details	Billing	BillOutstanding	Request	False	BillAmount
340	8324	179083	why my July bill shooting up to 186.57 ?	1470212150	7927	0	8	English	Billing	Billing Details	Billing	BillOutstanding	Reason	False	WhyBillAmount
340	8326	179087	normally it was only 93.28 ?	1470212184	7927	0	5	English	Billing	Billing Details	Billing	BillOutstanding	Reason	True	WhyBillAmount
340	8336	179114	Invoice Date 2016 Aug 01.186.57 sounds like Aug bill?	1470212387	7927	0	9	English	Billing	Billing Details	Billing	Document	Others	True	None
349	8508	179660	oh. ok then. 1. i got 2 numbers (2 sim card) that i put in 2 different phones. 1 of it, is my main phone. can all of info about bills etc from	1470220516	7962	0	33	English	Billing	Billing Details	Billing	BillBreakdown	Request	True	TotalBreakdown
350	8546	179724	My August bill was RM 32.86 my call Utilisation was RM 9.26 I top up only 500 MB for RM 15 but the product charge was RM 21.74 I never exceed the quota of the data, can pleas explain how the product charge will exceed RM 15. 	1470222134	7963	0	40	English	Billing	Product Charges	Billing	BillBreakdown	Reason	True	WhyItemAmount
350	8558	179736	can you please tell me what extra services i had used except the 500 MB data bundle?	1470222805	7963	0	16	English	Billing	Product Charges	Billing	Wrong	ObjectName	True	None
350	8559	179738	And my calling fees had been listed under Call Utilisation right?	1470222878	7963	0	11	English	Billing	Product Charges	Billing	BillBreakdown	Reason	True	ItemDefinition
361	8839	184570	I GOT A CHARGE FOR SMS FOR RM 26.70 <NL>THAT KIND OF SMS CHARGE IS THIS	1470377483	8173	0	14	English	Billing	Waiver	Billing	BillBreakdown	ObjectDefinition	False	WhyItemAmount
374	9114	195267	How to view my subline	1470962256	8679	0	5	English	Billing	Billing Details	Billing	BillBreakdown	Procedure	False	TotalBreakdown
374	9122	195275	My subline account bill...call tracks this month	1470962420	8679	0	7	English	Billing	Billing Details	Billing	BillBreakdown	ObjectNumeric	False	TotalBreakdown
430	10323	214359	Hi Wot r d product charges apart from call utilisation I see in the Call Bills	1471589050	9478	0	16	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
456	10922	229011	Can you please tell me what does it mean by total number of call is 458 units?	1472277631	10050	0	16	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	True	ItemDefinition
456	10943	229059	may i know what is the prodeuct being charged for rm 120 ?	1472278049	10050	0	11	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	True	ItemDefinition
456	10945	229068	What is the product charged at rm 120 ?	1472278108	10050	0	7	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
456	10948	229083	Can u please explain in detail what was i charged for rm 120 ?	1472278205	10050	0	12	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	True	ItemDefinition
536	12855	249105	then help to check why 85.85 ?	1472795322	10854	0	6	English	Billing	Billing Details	Billing	None	Reason	False	None
560	13460	277495	WHAT is product charges?	1473813814	11924	0	4	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
580	13871	287518	WHAT IS PRODUCT CHARGES	1474016969	12320	0	4	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
580	13875	287541	WHAT IS PRODUCT CHARGES SHOWN ON MY BILL	1474017069	12320	0	8	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
602	14368	293933	please help check 01120165586 why SMS charge RM 2.50 ?	1474267910	12580	0	8	English	Billing	Billing Charges	Billing	BillBreakdown	Reason	False	WhyItemAmount
602	14379	294022	01120165586 been charge 2.50 can you help me verify about it?	1474268459	12580	0	11	English	Billing	Billing Charges	Billing	BillBreakdown	Reason	True	WhyItemAmount
609	14528	294956	Account enquiry : 201324151. What is the charges for?	1474285176	12617	0	9	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount
609	14546	295004	What is the charges for? I dont think I use it as much	1474286248	12617	0	13	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount
658	15731	299358	WHY GOT PRODUCT CHARGES IN MY BILL	1474447837	12808	0	7	English	Billing	Product Charges	Billing	BillBreakdown	Reason	False	ItemDefinition
660	15748	299398	can i know what is ''Unused Sharing Commitment Fee'' charger on my bill every month?	1474448947	12811	0	15	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	True	ItemDefinition
668	15885	299954	CAN I CHECK THE MSG CONTACT NUMBER	1474462569	12836	0	7	English	Billing	Billing Details	Billing	Wrong	Request	False	None
671	15940	300254	may i know what in schedule call bill	1474509792	12850	0	8	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	True	ItemDefinition
671	15945	300264	can u explain product charges bcoz i just call to red 1 no only	1474509871	12850	0	14	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	True	ItemDefinition
679	16143	300570	what is product charge?	1474516650	12863	0	4	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
684	16246	301073	hi, ahmad zunaidi zulkipele ( 5441 ), hp 0123934137. Subscribe to no data. want to ask, what is product charges?	1474525681	12888	0	18	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
684	16249	301091	hi, ahmad zunaidi zulkipele ( 5441 ), hp 0123934137. Subscribe to no data. want to ask, what is product charges?	1474525864	12888	0	18	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
693	16488	301645	what mean the credit limit 50.00 in the bil?	1474538258	12911	0	9	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
693	16490	301650	I never use numbers 01110918180 , so it is charged on what ?	1474538335	12911	0	13	English	Billing	Billing Details	Billing	Wrong	Others	True	None
726	17283	304253	may i know the RM 7.45 & tax RM 1.05 is on which month? from date to date?	1474699391	13021	0	16	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	True	WhyItemAmount
726	17343	304354	how come inside my bill it has RM 77.57 smtg	1474701636	13021	0	9	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount
765	18265	306912	Hi..i'm curious..in my oct bill.there is product charge rm 50. what is that for?	1474865545	13130	0	12	English	Billing	Product Charges	Billing	BillBreakdown	Reason	False	WhyItemAmount
770	18399	307250	Can you please let me know the product charges?	1474874651	13143	0	9	English	Billing	Increase credit limit	Billing	BillBreakdown	ObjectNumeric	True	ItemAmount
777	18530	307573	Can I know why there is product charges in my bill for every month?	1474879901	13159	0	14	English	Billing	Product Charges	Billing	BillBreakdown	Reason	True	WhyItemAmount
804	19214	309365	May I have the explanation of my september bill?	1474954173	13232	0	9	English	Billing	Billing Details	Billing	BillBreakdown	ObjectNumeric	True	TotalBreakdown
804	19236	309396	so can u pls list down the charges?	1474954650	13232	0	8	English	Billing	Billing Details	Billing	BillBreakdown	ObjectNumeric	True	TotalBreakdown
814	19465	310008	ooh ok can i currret usage ?	1474961616	13255	0	7	English	Billing	Billing Details	Billing	BillBreakdown	None	True	None
815	19501	310151	can u check...do i make any expensive number between this month?	1474963281	13261	0	11	English	Billing	Increase credit limit	Billing	BillBreakdown	Request	True	None
835	19957	311593	why am i being charge for GData Bundle 1 GB with RM 20 ?	1475029681	13325	0	11	English	Billing	Data Bundle / PPU Rate	Billing	BillBreakdown	Reason	False	WhyItemAmount
835	19971	311623	also, what does G Unused sharing commitment fee mean?	1475030284	13325	0	9	English	Billing	Data Bundle / PPU Rate	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
860	20500	313799	Saw in the bil for call charges off net Celcom MOB...What does MOB means	1475061134	13421	0	14	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
861	20514	313816	WHAT IS PRODUCT CHARGES	1475061834	13422	0	4	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
861	20527	313838	SO NOW CAN YOU PLEASE EXPLAIN TO ME WHAT ARE PRODUCT CHARGES	1475062250	13422	0	12	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	True	ItemDefinition
861	20532	313844	WHAT VALUES ADDED?	1475062384	13422	0	3	English	Billing	Product Charges	Billing	None	ObjectDefinition	False	None
865	20668	314104	what is product charges ?	1475067662	13432	0	5	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
896	21529	316687	why there is pay per use 0.01 / 100 KB ? I subscribe for RM 20 1 GB, what I want is limited to RM 20 per month, IF EXCEED just stop it, I don;t want to pay RM 0.01 per 100 KB after that, please verify and confirm...	1475199647	13536	0	41	English	Billing	Data Bundle / PPU Rate	Billing	Wrong	Reason	False	None
1201	29498	347622	Hi, my service commence on 26 Sept, in Oct 1 I received bill charging me commitment fee for the whole month (Sept) rm 8 ???? Customer ID 201414067 	1476071231	14881	0	27	English	Billing	Billing Details	Billing	BillBreakdown	Reason	False	WhyItemAmount
1202	29513	347648	inside the billing, i saw the product charges.. what is that?	1476071494	14882	0	11	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
1202	29514	347653	Product Charges RM 50 	1476071511	14882	0	4	English	Billing	Product Charges	Billing	BillBreakdown	None	False	None
1207	29642	348029	WHAT IS PRODUCT CHARGES MEAN?	1476076749	14898	0	5	English	Billing	Product Charges	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
1207	29658	348113	BILL SUMMARY IT SHOW rM 11.81 	1476077921	14898	0	5	English	Billing	Product Charges	Billing	BillBreakdown	None	False	None
1208	29683	348280	PLEASE EXPLAIN THE CALCULATION	1476079916	14908	0	4	English	Billing	Billing Charges	Billing	BillBreakdown	Reason	False	WhyItemAmount
1213	29850	348909	G Unused Sharing Commitment Fee (* Sep 2016 *) ~ RM 32.00 	1476087580	14932	0	11	English	Billing	Billing Details	Billing	BillBreakdown	None	False	None
