Billing	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario							
13	326	31162	i am doing the payment by labtop	1465110846	1483	0	7	English	Billing	Make Payment - Selfcare	None	None	None	False	None							
15	376	32777	why i cant online paid my bill?<NL>the following warning massage <NL>We are unable to process your transaction due to "FPX_TXN_GEN_ERR".	1465174778	1547	0	20	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
15	384	32808	please teach me what i can to do now for paid my bill	1465175106	1547	0	13	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay							
21	506	33100	why i cannot pay my bill online?	1465177710	1568	0	7	English	Billing	Payment Type	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
21	511	33305	We are unable to process your transaction due to "FPX_TXN_GEN_ERR".	1465179581	1568	0	10	English	Billing	Payment Type	Billing	BillingTroubleShooting	Procedure	False	ErrorCode							
44	1129	38070	Also i want to download and pay bill, both item i click on didnot response or functioning. How to pay if I want to pay online?	1465274720	1784	0	26	English	Billing	Billing Details	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
50	1224	40448	on download bill page,i click on Pay Now,but cannot pay bill.Why?	1465352184	1876	0	11	English	Billing	Payment Type	Billing	BillingTroubleShooting	Reason	False	CannotPayBill							
62	1489	48696	I dont know how to pay the bill, i press pay bill plugin but nothing show up	1465545932	2222	0	17	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
63	1524	51004	i wud like to make a payment for my bills but seems the online payment via FPX is unsuccessful...the transaction cannot go thru the next process....why?	1465697354	2323	0	26	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
63	1530	51030	it's not go thru after clicking the online banking payment option....	1465697526	2323	0	11	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
63	1533	51046	firefox....i've used chrome as well as opera....but same problem also...	1465697700	2323	0	10	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	BillingTroubleShootingOthers							
63	1534	51048	after loading the page more than 5 min, then it came out with "Oops! We're sorry<NL>Error reference number : 20160612 _ 6444629 <NL><NL>An error occured when we tried to process your request. We're already working on the problem and expect to resolve it shortly<NL><NL>If you were trying to make a purchase, please check your bank account and email to confirm that the order was placed<NL><NL>We apologize for the inconvenience".	1465697751	2323	0	65	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	ErrorCode							
63	1535	51053	i dun understand what does it means....is it temporary error...?	1465697798	2323	0	10	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Reason	True	BillingTroubleShootingOthers							
63	1545	51136	i've prob with selfcare as mention above...the next page cannot get through....	1465698587	2323	0	12	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
63	1546	51142	i've tried the maybank to you....yo make a 1 off pymt but xnot find redONE as payee...	1465698628	2323	0	17	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotFindPayee							
65	1582	51128	i click pay now but nothing appear	1465698495	2325	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
65	1592	51167	may i asked you where to get the pop up menu	1465698899	2325	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	WhereIsMenu							
66	1644	51496	I can't make any payment now?	1465708668	2336	0	6	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	BillingTroubleShooting	Procedure	True	CannotPayBill							
67	1661	51433	Hi, i have made a payment of RM 128.06 through Public Bank online banking on 10 June. Then I received an email from FPX stated my payment is unsuccessful, but i called up the bank and they said the bank has already approve that payment and it was already deducted from my bank account, now my redone bill still stated i haven't pay it, kindly assist in this issue<NL>thanks	1465707506	2339	0	68	English	Billing	Payment Status	Billing	PaymentStatus	Procedure	False	WantUpdate							
72	1756	52432	hi, i try to pay via cimb click but failed so many time already...	1465782176	2385	0	14	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	TransactionCannotGoThrough							
80	1999	54546	now trying to remove pop up but still not work	1465810114	2470	0	10	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	StillNotWorking							
89	2231	57204	Ii try to make payment online but failed	1465897794	2606	0	8	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
110	2725	62108	my line have been barred<NL>i cannot make payment aswell	1465994550	2818	0	9	English	Billing	Payment Status	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
111	2741	62129	Need yr assistance, I click fr pay now now show anything	1465994833	2819	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
122	3086	66431	so, just want to reflect back the first conversation, why Redone still show on their website that I have to Pay Now?	1466125264	3002	0	22	English	Billing	Deposit Refund	Billing	PaymentStatus	Reason	False	WhyNotUpdated							
127	3221	66840	when i click pay now it doesn't appear anything	1466131052	3021	0	9	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
131	3356	69284	Im using handphone and no response after click pay now	1466235606	3135	0	10	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
132	3366	69248	WHY WHEN I CLICK PAY NOW NOTHING HAPPEN	1466235216	3136	0	8	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
135	3409	70704	Y i cant make payment?	1466320412	3196	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
135	3414	70713	Just now when i click pay now , it do no proceed	1466320550	3196	0	12	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
137	3443	70756	why i can't make payment	1466321490	3198	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
137	3448	70761	i click the button pay now dont have anything	1466321596	3198	0	9	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
148	3678	75508	hello, i would like to pay my bill but my account should invalid. please help	1466511730	3421	0	15	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	AccountInvalid							
158	3917	79957	Why the redone online "pay now" button cannot use?	1466757839	3641	0	9	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
160	3948	81768	hai..why i cant pay the bill?	1466920221	3733	0	6	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Reason	False	WhyCannotPayBill							
160	3952	81774	when i click on downlaod bill..it cannot reach for next process..blank..	1466920356	3733	0	11	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
185	4504	93573	I HAVE CLICK DOWNLOAD AND ALSO CLICK THE PAY NOW, ALSO CAN NOT...	1467340073	4249	0	13	English	Billing	Billing Details	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
186	4515	93571	Hi..I having problem paying my bill via credit card online. The problem is on your side or the bank?	1467340065	4252	0	19	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	TransactionCannotGoThrough							
186	4522	93612	bank does not honor transaction	1467340328	4252	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	TransactionCannotGoThrough							
188	4562	93838	i press the pay now no responding	1467342024	4264	0	7	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
201	4855	97590	I cannot find the button	1467421759	4414	0	5	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
207	5007	98311	I am unable to make payment	1467431598	4440	0	6	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
207	5012	98320	i want to make the last payment to the number 0168074122 but it shows invalid account	1467431740	4440	0	16	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	AccountInvalid							
211	5095	102392	Pls let me know how to pay my redone bill online? TQ<NL>I click Pay Now, but nothing happen	1467536228	4627	0	18	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
212	5109	102409	cannot pay	1467536448	4628	0	2	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
212	5112	102412	nothing happen clikking pay now	1467536477	4628	0	5	English	Billing	Make Payment - Selfcare	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill							
