conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario
164	4014	86702	How long will received sms that we were paid a bill?	1467100407	3934	0	11	English	Billing	Payment Status	Billing	PaymentStatus	ObjectTime	False	WantUpdate
230	5644	110048	HI <NL>Can i combine by bills since i have 2 number ?	1467786120	4971	0	12	English	Billing	Billing Details	Billing	BillingOthers	Request	False	None
257	6311	114630	ic... how abt if go to your agent?	1468136677	5157	0	8	English	Billing	Waiver	Billing	BillingOthers	Procedure	False	None
270	6672	120530	but i don't see any rebate in my previous bill	1468380836	5410	0	10	English	Billing	Billing Details	Billing	BillingOthers	Reason	False	None
280	6890	125046	ur co charge me reconnection fee of rm 10 . would like to seek for waiver	1468484921	5610	0	15	English	Billing	Waiver	Billing	BillingOthers	Request	False	None
288	7121	140342	i mean.. could you check that your system have my email so that i can receive my bill next month	1468835698	6270	0	20	English	Billing	Un-bar lines - Overdue Payment	Billing	BillingOthers	Request	False	None
303	7480	147641	Can you correct my name in the system too	1469148989	6543	0	9	English	Billing	Un-bar lines - Overdue Payment	Billing	BillingOthers	Request	False	None
426	10243	213640	Hi, what is SC request ?	1471566984	9446	0	6	English	Billing	Billing Details	Billing	BillingOthers	ObjectDefinition	False	None
431	10355	215217	Can you help me understand where the Credit movement in my account comes from?	1471654933	9507	0	14	English	Billing	Billing Details	Billing	BillBreakdown	ObjectDefinition	False	ItemDefinition
431	10366	215259	In my account, it records a credit movement of 200. I paid 100 at the retail outlet. Did RedOne transfer credit from my other phone lines to the main line?	1471655310	9507	0	30	English	Billing	Billing Details	Billing	BillingOthers	ObjectDefinition	False	None
701	16622	301945	how can I separate the bill...is that possible	1474590090	12925	0	8	English	Billing	Billing Details	Billing	BillingOthers	Procedure	False	None
809	19344	309504	Regarding I owned 52 minutes free call each month, may I know how to check how many minutes I have used for current month? I have called 1909 before, the customer service operator told me can check in at online self care service. However, I am not able to check it.	1474955845	13237	0	51	English	Billing	Billing Charges	Billing	BillBreakdown	Procedure	False	ItemDefinition
817	19571	310297	How about my internet balance? Did bring forward the next month??	1474965401	13267	0	11	English	Billing	Billing Details	Billing	BillBreakdown	Procedure	False	ItemDefinition
899	21630	317015	ok..So can i refund ?	1475203375	13550	0	5	English	Billing	Deposit Refund	Billing	Refund	Procedure	False	HowRefundDeposit
1226	30175	351297	how to increase my credit limit permenantly	1476178492	15028	0	7	English	Billing	Billing Details	Billing	CreditLimit	Procedure	False	IncreaseCreditLimit
1226	30183	351305	once i pay rm 25. how much will my credit limit be	1476178698	15028	0	11	English	Billing	Billing Details	Billing	CreditLimit	ObjectNumeric	False	CheckCreditLimitAmount
1226	30187	351312	what will my new credit limit be	1476178782	15028	0	7	English	Billing	Billing Details	Billing	CreditLimit	ObjectNumeric	False	CheckCreditLimitAmount
1253	30733	353102	hi.I am redone user.just now I went to Maybank to pay bill.it was my first time using ATM to pay the bill.but I think I have wrongly choose the section.and finally I been choose reload.is it work for redone user?	1476259184	15108	0	40	English	Billing	Payment Status	Billing	PaymentChannel	Procedure	False	PaymentChannelOthers
1261	30927	353477	actually I am redone user and just now I went to Maybank ATM to made a payment of it,but unfortunately I choose it wrongly to celcom	1476265788	15122	0	26	English	Billing	Make Payment - Kiosk / Epay / BSN / Maybank / RHB	Billing	BillingOthers	Procedure	False	None
1261	30928	353480	the bill is talking about the reload code	1476265854	15122	0	8	English	Billing	Make Payment - Kiosk / Epay / BSN / Maybank / RHB	Billing	BillingOthers	None	False	None
1274	31262	354236	Where can I find the 2 other mobile number?	1476324867	15155	0	9	English	Billing	Billing Details	Billing	BillingOthers	Procedure	False	None
1274	31274	354335	Where to find this 0162325446 - 201306100 ?	1476325455	15155	0	7	English	Billing	Billing Details	Billing	BillingOthers	Others	True	None
1300	31957	355891	afraid that our payment is for Oct inv, not Sept inv	1476347331	15233	0	11	English	Billing	Make Payment - Selfcare	Billing	BillOutstanding	None	False	PayingMonth
1328	32621	357982	if client can paid in advance then can i withdraw those extra	1476421973	15328	0	12	English	Billing	Billing Details	Billing	Refund	None	False	HowRefund
1329	32660	358261	i have negative balance on my account, I would like to retrieve the balance	1476428832	15338	0	14	English	Billing	Deposit Refund	Billing	Refund	Procedure	False	HowRefund
1329	32668	358277	Yes, and I would like to retrieve this balance	1476429066	15338	0	9	English	Billing	Deposit Refund	Billing	Refund	Procedure	False	HowRefund
1360	33499	361639	IC... because in my bill still stated amout RM 355.53 and i pay half for that RM 150.00 on 9 th	1476516011	15485	0	18	English	Billing	Un-bar lines - Overdue Payment	Billing	BillingOthers	None	False	None
1375	33918	363773	Just now I log in my UOB , I cannot check the credit card summary as service temporary unavailable. So I cannot check weather the payment is successfully or not. If I register auto debit payment now and found that the payment r double charged..wil my money be refund ? Or credit back to my next bill?	1476579939	15568	0	57	English	Billing	Payment Status	Billing	BillingOthers	None	False	None
1375	33941	363831	Usually I wil receive the msg..but din find it or I deleted it . That y I check my credit card account . And try to check weather success to deduct or not. But unfortunately the checking problem got problem, their service temporary unreachable . So I cannot see my credit card summary. That y I need ur help.	1476581092	15568	0	59	English	Billing	Payment Status	Billing	PaymentStatus	None	False	ConfirmPaymentReceived
1375	33977	363984	i make twice payment already..if all get through	1476582974	15568	0	8	English	Billing	Payment Status	Billing	BillingOthers	None	False	None
1384	34220	364717	Even I paid also you will do this ? I can send the proof here now itself. If you open after 3 days, what is the use I made a payment today ?	1476595057	15604	0	33	English	Billing	Make Payment - Kiosk / Epay / BSN / Maybank / RHB	Billing	Barring	Others	True	RequestUnbar
1384	34225	364722	I know CIMB clicks will take 1 to 3 days but it is possible for you to reactivate it if i produce reference number which is an evidence that I paid	1476595246	15604	0	31	English	Billing	Make Payment - Kiosk / Epay / BSN / Maybank / RHB	Billing	Barring	None	False	RequestUnbar
1385	34236	364804	when should we upgrade credit limit?	1476596076	15611	0	6	English	Billing	Data Bundle / PPU Rate	Billing	CreditLimit	Procedure	False	CreditLimitOthers
1385	34247	364831	oic..means that is the time to upgrade credit limit right?	1476596288	15611	0	10	English	Billing	Data Bundle / PPU Rate	Billing	BillingOthers	Procedure	False	None
1392	34478	365262	Do i have any deposits?	1476600274	15629	0	5	English	Billing	Deposit Refund	Billing	Refund	ObjectNumeric	False	HowRefundDeposit
1397	34615	365593	i made 2 payments from 2 different accounts	1476602967	15640	0	8	English	Billing	Un-bar lines - Overdue Payment	Billing	PaymentStatus	None	False	ConfirmPaymentReceived
1397	34617	365596	it was half and half payments made from 2 different bank accounts	1476602999	15640	0	12	English	Billing	Un-bar lines - Overdue Payment	Billing	PaymentStatus	None	False	ConfirmPaymentReceived
1397	34630	365617	with my id number name and ic or how do i proceed	1476603195	15640	0	12	English	Billing	Un-bar lines - Overdue Payment	Billing	PaymentStatus	Procedure	False	ConfirmPaymentReceived
1399	34683	365710	yeah,I just pay 1 month first	1476605632	15644	0	6	English	Billing	Un-bar lines - Overdue Payment	Billing	BillOutstanding	None	False	PayingMonth
1409	34905	366165	I saw there have written we will receive additional 2 % discount on our total redone bill	1476618038	15667	0	16	English	Billing	Auto Debit Application	Billing	BillingOthers	None	False	None
1420	35242	367798	i do my bill payment , 1 st time the result is fail, so i do second time, but later sms me is 2 time success? i call to bank said is 2 time...so how now?	1476676851	15745	0	34	English	Billing	Payment Status	Billing	BillingOthers	Others	True	None
1426	35400	368894	yes that 1 is for bill sept that i mistake made underpayment	1476687780	15785	0	12	English	Billing	Billing Details	Billing	BillOutstanding	None	False	PayingMonth
1426	35403	368931	2 OCT 2016 payment is for SEPT BILL thai i mistake made underpayment	1476688115	15785	0	13	English	Billing	Billing Details	Billing	BillOutstanding	None	False	PayingMonth
1439	35711	370816	no. please what for i want to increase credit limit	1476764518	15880	0	10	English	Billing	Increase credit limit	Billing	CreditLimit	Reason	False	IncreaseCreditLimit
1451	36029	371584	Ok. Any minimum payment to reconnect my phoneline?	1476778769	15918	0	8	English	Billing	Billing Details	Billing	Barring	ObjectNumeric	False	CheckUnbarAmount
1467	36389	373171	Pop up works fine, cos a page from RedOne pops up as another Tab. Not sure why it didn't work. Now I receive 2 sms says payment made.	1476853379	15990	0	28	English	Billing	Payment Status	Billing	BillingOthers	None	False	None
1469	36426	373244	just wanna ask some quetion<NL>my credit limit only RM 50 right<NL>why now can till RM 1 xx	1476854591	15996	0	14	English	Billing	Data Bundle / PPU Rate	Billing	CreditLimit	Reason	False	CheckCreditLimitAmount
1469	36428	373255	ust wanna ask some quetion<NL>my credit limit only RM 50 right<NL>why now can till RM 1 xx	1476854798	15996	0	14	English	Billing	Data Bundle / PPU Rate	Billing	CreditLimit	Reason	False	CheckCreditLimitAmount
1470	36451	373374	double payment	1476856958	16001	0	2	English	Billing	Payment Status	Billing	BillingOthers	None	False	None
