conversation_tagging_id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario
29	I need my 2015 total payment to RedOne, this is for income tax purpose.	1465186457	1611	0	14	English	Billing	Billing Details	Billing	Document	Request	False	RequestSendBill
35	can you please delete all my online bill history...	1465201967	1671	0	9	English	Billing	Billing Details	Billing	Document	Request	True	DocumentOthers
35	CAN YOU PLEASE DELETE ALL MY ONLINE BILL HISTORY..?	1465202056	1671	0	9	English	Billing	Billing Details	Billing	Document	Request	True	DocumentOthers
35	HOW ABOUT CANCEL MY SELF CARE LOGIN ACCOUNT	1465202126	1671	0	8	English	Billing	Billing Details	Billing	Wrong	Request	FALSE	None
37	GOOD MORNING<NL>I would like to request telephone bill for each month from jan 2015 to dec 2015 for audit !<NL>thank	1465266818	1753	0	20	English	Billing	Billing Address	Billing	Document	Request	False	RequestSendBill
58	Hi, can i get the statement of march 2016 ?	1465538112	2188	0	9	English	Billing	Payment Status	Billing	Document	Request	True	RequestSendBill
78	can i print statement year 2015 ?	1465807567	2463	0	6	English	Billing	Billing Cycle	Billing	Document	Request	True	RequestSendBill
78	SO, START MARCH 2015 CAN I PRINT THE RECEIPT?	1465807933	2463	0	9	English	Billing	Billing Cycle	Billing	Document	Request	False	RequestSendBill
101	can u send mail for bill dated on 01 mar 2016 	1465958392	2673	0	11	English	Billing	Billing Details	Billing	Document	Request	True	RequestSendBill
108	I need itemize statement. Tq!	1465980320	2773	0	5	English	Billing	Billing Cycle	Billing	Document	Request	False	RequestSendBill
109	Hi, my name is Ong Ban Hock, Red 1 number: 01110976008. <NL><NL>I have lost my 1 st Feb 2016 & 1 Mar 2016 phone bill.<NL><NL>Can you email the 2 invoices to me at bhong 66 @hotmail.com<NL><NL>Thanks.<NL><NL>Ong Ban Hock<NL> 01110976008 	1465980498	2774	0	34	English	Billing	Billing Cycle	Billing	Document	Request	True	RequestSendBill
126	I have requested to have my statement from May to Dec 2015 and I have also send an email to Shi Pei<NL>"Cust Care- Email & Social Media" you r the 3 rd person I chat with rgd of the statement...can u help to follow up?	1466131452	3017	0	44	English	Billing	MMS Rate	Billing	Document	Request	True	RequestSendBill
128	Hi, may i request the bill statement from Jun, 2015 to MaC, 2016 for income tax purpose.	1466132348	3022	0	16	English	Billing	Billing Address	Billing	Document	Request	False	RequestSendBill
128	so how i receive the statement?	1466132835	3022	0	6	English	Billing	Billing Address	Billing	Document	Procedure	False	RequestSendBill
134	can you let me download 2016 Mar 01 Bill invoice	1466309403	3181	0	10	English	Billing	Billing Details	Billing	Document	Request	True	HowDownloadBill
166	i need to request for the last year statement for income tax purpose	1467110316	3950	0	13	English	Billing	Billing Details	Billing	Document	Reason	False	RequestSendBill
166	can u pls email to my email address?	1467110525	3950	0	8	English	Billing	Billing Details	Billing	Document	Request	True	RequestSendBill
170	hi..when will my july bill ready?	1467161999	3959	0	6	English	Billing	Billing Details	Billing	PaymentCycle	ObjectOthers	FALSE	WhenBillUpdate
171	Is it possible to request for monthly invoices?	1467167321	3968	0	8	English	Billing	Billing Details	Billing	Document	Others	True	RequestSendEveryMonth
171	If possible, I need the previous invoices as well. For claim purpose.	1467167339	3968	0	12	English	Billing	Billing Details	Billing	Document	Request	False	RequestSendBill
171	Even by email I still need to pay RM 5 ?	1467167441	3968	0	9	English	Billing	Billing Details	Billing	None	Others	FALSE	None
183	if really cant can u email to me coz i need update	1467337967	4232	0	12	English	Billing	Billing Details	Billing	None	Request	True	None
187	E-MAIL MY MAIL BOX bfst 6170 @gmail.com	1467341748	4262	0	5	English	Billing	Billing Address	Billing	None	Request	FALSE	None
204	cant se my list of my history payment	1467427449	4427	0	8	English	Billing	Billing Details	Billing	Document	Procedure	False	HowViewBill
243	where to see the total payment that i need to pay from the bill that i have downloaded???	1467948190	5033	0	18	English	Billing	Billing Details	Billing	BillOutstanding	ObjectNumeric	FALSE	WhichFieldToPay
253	how can i still get copy or download for bill april 2016 ?	1467975370	5071	0	12	English	Billing	Billing Details	Billing	Document	Procedure	False	HowDownloadBill
274	i want to view my previous month of bill	1468385166	5430	0	9	English	Billing	Billing Details	Billing	Document	Request	False	HowViewBill
274	can you help me check about my may bill?	1468385492	5430	0	9	English	Billing	Billing Details	Billing	Document	Request	False	HowViewBill
304	please send email to me for my june bill	1469148897	6544	0	9	English	Billing	Billing Address	Billing	Document	Request	False	RequestSendBill
331	send to email , is it the statement can see outgoing call number?	1470044689	7563	0	13	English	Billing	Billing Details	Billing	Document	Request	False	RequestSendBill
331	ok , the send to email (fujimotorpolserian 8888 @hotmail.com)	1470044724	7563	0	7	English	Billing	Billing Details	Billing	Document	Request	False	RequestSendBill
368	can you email to me my bill because i cant print my bill to reclaim.. tq	1470543510	8306	0	16	English	Billing	Billing Address	Billing	Document	Request	True	RequestSendBill
510	GOOD MORNING<NL><NL>HOW I WANT TO PRINT OUT MY TAX INVOICE?	1472701704	10614	0	10	English	Billing	Billing Error	Billing	Document	Procedure	False	HowDownloadBill
523	Hi,how can I get monthly statement from redone?	1472775257	10777	0	8	English	Billing	Billing Details	Billing	Document	Procedure	False	HowDownloadBill
523	So,how can I get monthly statement from redone?	1472775380	10777	0	8	English	Billing	Billing Details	Billing	Document	Procedure	False	HowDownloadBill
523	So, can you please email me the statement every month easy for me to make payment as soon as possible..	1472775514	10777	0	20	English	Billing	Billing Details	Billing	Document	Request	True	RequestSendEveryMonth
524	failed to get invoice	1472777399	10781	0	4	English	Billing	Billing Details	Billing	Document	Reason	False	HowDownloadBill
527	helo, may i know where to view the bill details?	1472780520	10797	0	10	English	Billing	Billing Details	Billing	Document	Procedure	False	HowViewBill
527	i wanna to check the call details..	1472780925	10797	0	7	English	Billing	Billing Details	Billing	Wrong	Procedure	FALSE	None
