conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario
17	418	32984	Good morning..<NL>If bill payment thru maybank 2 u, under what company to register	1465176523	1560	0	11	English	Billing	Payment Channel	Billing	PaymentChannel	ObjectName	False	PayWho
19	459	33102	But as I can read from this page under Direct Debit http://www.redone.com.my/support/payment-channel/ , it states clearly that preferred banks are also accepted. Could you please clarify that?	1465177749	1566	0	27	English	Billing	Payment Type	Billing	PaymentChannel	Reason	False	PaymentChannelOthers
19	464	33120	Ok then. Can I request to register to enroll for direct debit via this chat?	1465178073	1566	0	15	English	Billing	Payment Type	Billing	AutoDebit	Request	True	HowApply
19	467	33125	Then what should I do if I wish to enroll for the service?	1465178138	1566	0	13	English	Billing	Payment Type	Billing	AutoDebit	Procedure	False	HowApply
33	828	34546	how to pay outstanding bill. acc already terminated	1465193301	1640	0	8	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
33	849	34686	so i need to email the receipt to??	1465194030	1640	0	8	English	Billing	Payment Channel	None	None	None	False	None
37	971	37372	how do i make the payment for that?	1465267912	1753	0	8	English	Billing	Billing Address	Billing	PaymentChannel	Procedure	False	HowPay
46	1160	38439	Hi. What is the other payment alternative beside direct payment and pay at kiosk?	1465280252	1798	0	14	English	Billing	Payment Channel	Billing	PaymentChannel	ObjectName	False	MethodExcept
50	1229	40456	i want to pay my bill	1465352341	1876	0	6	English	Billing	Payment Type	Billing	PaymentChannel	Procedure	False	RequestPay
63	1538	51074	is there any other payment option?	1465698056	2323	0	6	English	Billing	Payment Channel	Billing	PaymentChannel	ObjectName	False	MethodExcept
63	1542	51110	my line has been barred..i prefer to make pymt either via Maybank 2 u.com or JomPay...	1465698348	2323	0	14	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	MethodExcept
65	1581	51124	hi, how to pay online?	1465698478	2325	0	5	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
68	1682	51544	Other than credit card auto debit, is there any other method for me to pay online?	1465711097	2342	0	16	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	ObjectName	False	MethodExcept
72	1779	52593	possible i pay via transfer online?i cannot pay online	1465784203	2385	0	9	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	True	HowPay
80	1994	54528	How i want to pay bill with credit card?	1465809892	2470	0	9	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
81	2010	54539	i would like to make payment thru my credit card. pls advise	1465810077	2471	0	12	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
83	2051	54609	can i pay online for this number 0124291359 	1465811235	2476	0	8	English	Billing	Payment Status	Billing	PaymentChannel	Procedure	True	RequestPay
83	2070	54703	and how can i log in to pay it?	1465812072	2476	0	9	English	Billing	Payment Status	Billing	PaymentChannel	Procedure	False	PaymentChannelOthers
83	2071	54708	what id and password can for me log in to pay?	1465812211	2476	0	11	English	Billing	Payment Status	Billing	PaymentChannel	ObjectName	False	PaymentChannelOthers
83	2075	54731	cannot log in	1465812348	2476	0	3	English	Billing	Payment Status	None	None	None	False	None
83	2092	54785	now i try to pay another bill	1465812749	2476	0	7	English	Billing	Payment Status	None	None	None	False	None
86	2167	55271	HOW TO PAY MY BILL USNG MAYBANK TO YOU ACC	1465821907	2505	0	10	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
104	2566	59712	Hello, my line was barred and I would like to pay my bill online via Visa card.	1465969760	2731	0	17	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
107	2654	60753	can i pay on ibg internet banking ? please teach the way. tq	1465977941	2765	0	13	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	True	HowPay
107	2661	60789	ya, i try but can't.. can i go to my banker & pay on this ?	1465978311	2765	0	16	English	Billing	Payment Channel	None	None	None	True	None
112	2767	62289	HOW I WANT TOPAY ONLINE	1466034123	2826	0	5	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
112	2774	62305	IS IT POSSIBLE IF DIRECT BY MAYBANK 2 U THAN BY PAYBILL????	1466034553	2826	0	10	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	True	HowPay
133	3378	69732	Hi I would like to pay my bills via online how can I do that.?	1466244469	3154	0	15	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
133	3383	69745	I'm using Maybank 2 u to pay bills. how can i do that to pay redone?	1466244619	3154	0	14	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
152	3792	76701	If i want to pay through cimb click, what is the provider name?	1466592620	3489	0	13	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	ObjectName	False	PayWho
152	3800	76711	If i dont want to download it n just want to pay through my banking internet.. how	1466592901	3489	0	17	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
173	4201	87783	hello<NL>how can i pay my bill online	1467175749	3987	0	7	English	Billing	Payment Type	Billing	PaymentChannel	Procedure	False	HowPay
174	4218	87797	huw to pay using maybank 2 u.	1467175843	3988	0	5	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
179	4346	92436	I want to know, for the bill payment, is it possible to pay online using cimb clicks	1467332719	4205	0	17	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	True	HowPay
190	4585	93863	how can i pay bill online	1467342106	4270	0	6	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
190	4592	93887	i just want to know how can i pay onlie bill	1467342182	4270	0	11	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
201	4852	97587	Hi..how i want to pay via online?	1467421713	4414	0	7	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
214	5186	102548	I'm paying by maybank 2 u.	1467537968	4631	0	4	English	Billing	Payment Status	Billing	PaymentChannel	Procedure	False	HowPay
228	5612	109442	How to pay online	1467760772	4944	0	4	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
228	5614	109445	May I know how to pay online	1467760791	4944	0	7	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
232	5717	110661	Can I pay the payment via online?	1467864208	4994	0	7	English	Billing	Un-bar lines - Increase CL from RM100 to RM150	Billing	PaymentChannel	Procedure	True	HowPay
235	5773	110950	Hi. I would like to know my jom bay biller's code... i want to pay my bills with cimb click.	1467883502	5008	0	20	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	PayWho
236	5800	110993	HW I PAY THROUGH MAYBANK 2 U?payee to Celcom?	1467884051	5009	0	7	English	Billing	Make Payment - Kiosk / Epay / BSN / Maybank / RHB	Billing	PaymentChannel	ObjectName	False	HowPay
236	5805	111001	hw I pay my bill?i intend to pay through maybank 2 u.	1467884134	5009	0	10	English	Billing	Make Payment - Kiosk / Epay / BSN / Maybank / RHB	Billing	PaymentChannel	Procedure	False	HowPay
237	5820	111225	why cannot online make payment?	1467895062	5015	0	5	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Procedure	False	CannotPayBill
237	5844	111258	where to pay selfcare?	1467895861	5015	0	4	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
240	5882	111437	hi I need to make my bill payment. Is there any other option to pay other than auto debit?	1467945970	5024	0	19	English	Billing	Payment Channel	Billing	PaymentChannel	ObjectName	False	MethodExcept
244	5985	111694	I just want to pay my payment online without auto debit	1467950144	5037	0	11	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
247	6040	112253	Hi, id like to know, how do i pay my postpaid bill. Tq.	1467968510	5060	0	13	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
257	6298	114617	hi, dzulhafizh here. I want to pay my last mth's bill tru online. fyi, I already terminated my lines last 2 weeks	1468136441	5157	0	22	English	Billing	Waiver	Billing	PaymentChannel	Procedure	False	HowPay
257	6316	114635	pay tru maybank?	1468136775	5157	0	3	English	Billing	Waiver	Billing	PaymentChannel	Procedure	True	HowPay
257	6324	114643	I dun hv maybank, cimb only	1468136895	5157	0	6	English	Billing	Waiver	Billing	PaymentChannel	Procedure	False	HowPay
265	6513	119246	im using muamalat online bngking'	1468314098	5349	0	5	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	PaymentChannelOthers
267	6545	120101	Good morning.. How to pay bil redone	1468375524	5396	0	7	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
269	6595	120394	i would like to make payment through online credit card. pls advise	1468378715	5409	0	12	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
275	6790	124037	Can I know online banking how long will processes	1468470814	5568	0	9	English	Billing	Payment Channel	Billing	PaymentChannel	ObjectTime	True	WhenProcess
284	6957	138425	I WANT ON LINE BANKING	1468815633	6206	0	5	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
286	7053	138787	IF I PAID FOR PHONE NO 0167914704 CAN OR NT	1468821584	6220	0	10	English	Billing	Billing Details	Billing	PaymentChannel	Procedure	True	RequestPay
288	7101	140275	online cimbclicks	1468835065	6270	0	2	English	Billing	Un-bar lines - Overdue Payment	Billing	PaymentChannel	ObjectName	False	HowPay
289	7136	140287	hello,may i know is it possible for me to pay my acc thro offline?	1468835228	6271	0	14	English	Billing	Payment Type	Billing	PaymentChannel	Procedure	True	HowPay
294	7240	142386	hi.. im rafidah<NL>why i can not pay my bil	1468914480	6344	0	9	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Reason	False	CannotPayBill
302	7446	145485	how to made payment?	1469012878	6454	0	4	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
302	7453	145499	btw i done the payment ad..may i know can i pay by online banking (through the bill payment in our own online banking since your website will be down for now until August)	1469013215	6454	0	33	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	True	HowPay
305	7534	147717	ok... can i make online payment right now	1469151622	6547	0	8	English	Billing	Billing Details	Billing	PaymentChannel	Procedure	True	RequestPay
309	7616	148200	ok on, will pay rm 100 via internet banking	1469161775	6575	0	8	English	Billing	Un-bar lines - Increase CL from RM200 to RM300	Billing	PaymentChannel	None	False	RequestPay
314	7728	148503	How to pay on line from selfcare page. I try but can't get thru like before.	1469171190	6590	0	16	English	Billing	Payment Channel	Billing	BillingTroubleShooting	Reason	False	CannotPayBill
318	7786	153216	How to pay bill on line	1469433931	6777	0	6	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
344	8407	179392	Pay bill	1470216475	7947	0	2	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	RequestPay
347	8467	179546	How to make a payment through your website	1470218531	7956	0	8	English	Billing	Billing Details	Billing	PaymentChannel	Procedure	False	HowPay
348	8488	179595	ouh sorry...online payment	1470219203	7958	0	3	English	Billing	Payment Status	None	None	None	False	None
358	8774	182823	hi...already made payment via cimbclick	1470305728	8099	0	5	English	Billing	Payment Status	Billing	PaymentStatus	ObjectName	False	ConfirmPayment
385	9373	197735	HOW I CAN MAKE A PAYMENT THROUGH MY VISA CARD IN ONLINE??	1471075388	8797	0	12	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
390	9477	199678	How to pay via credit card	1471174410	8883	0	6	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
392	9504	199720	HOW TO PAY ONLINE	1471177677	8887	0	4	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
399	9632	202638	hello, redone is not accepting bsn online banking ?	1471248741	9023	0	9	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	True	HowPay
401	9665	202937	hi how to pay my bill using american express credit card?	1471251126	9036	0	11	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
401	9669	202943	hi how to pay my bill using american express credit card?	1471251153	9036	0	11	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
403	9691	203151	HOW TO PAY BILL	1471254214	9044	0	4	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
404	9710	203441	If i want to pay bill online by rhb App...which biller should choose? REDtone Mobile or REDtone telecommunications?	1471261251	9060	0	18	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	PayWho
413	9919	207223	may I know can pay bill online?	1471338199	9216	0	7	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	True	HowPay
416	10003	207666	Could you check for me the bill payment could be made via hongleong bank?	1471341321	9229	0	14	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	True	HowPay
416	10014	207750	Jompay hv biller code?	1471341839	9229	0	4	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	ObjectName	True	PayWho
419	10063	208268	how can i pay bills online ?	1471349594	9251	0	7	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
419	10067	208277	how can i pay bills online	1471349614	9251	0	6	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
429	10315	214242	how to pay now	1471583524	9472	0	4	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
