conversation_tagging_id	index_en	id	msg	time	chat_id	user_id	word count	Language	Preassigned Topic	Preassigned Subtopic	Topic_L1	Topic_L2	AnswerType	Confirmation	Scenario
38	997	37270	when should i pay my bill... 1 st day of every month?	1465267238	1756	0	10	English	Billing	Billing Details	Billing	PaymentCycle	ObjectTime	True	WhenBillUpdate
60	1448	48247	how i want to pay my bill online?	1465541272	2204	0	8	English	Billing	Make Payment - Selfcare	Billing	PaymentChannel	Procedure	False	HowPay
64	1558	51051	Hi morning<NL>where can i check from and to what date is the billing being charged?	1465697783	2324	0	15	English	Billing	Billing Cycle	Billing	PaymentCycle	ObjectName	False	WhenBillUpdate
64	1563	51057	i wanna know the end date	1465697815	2324	0	6	English	Billing	Billing Cycle	Billing	PaymentCycle	ObjectTime	False	WhenPaymentLastDay
66	1630	51446	when can I settle the bill?	1465707687	2336	0	6	English	Billing	Un-bar lines - Increase CL from RM50 to RM100	Billing	PaymentCycle	ObjectTime	False	WhenPaymentLastDay
95	2389	58119	ooh..ok..tq.. my data plan is already slow..when is the start date of my line?	1465954515	2654	0	14	English	Billing	Billing Details	Billing	Wrong	ObjectTime	False	None
102	2524	58641	Can i pay my bill using maybank 2 u?	1465959360	2685	0	7	English	Billing	Make Payment - Kiosk / Epay / BSN / Maybank / RHB	Billing	PaymentChannel	ObjectName	True	MethodExcept
199	4797	97441	when is due date to make payment	1467419175	4409	0	7	English	Billing	Payment Channel	Billing	PaymentCycle	ObjectTime	False	WhenPaymentLastDay
199	4800	97444	may i know when is the due date for my bill of July 2016 	1467419223	4409	0	14	English	Billing	Payment Channel	Billing	PaymentCycle	ObjectTime	False	WhenPaymentLastDay
199	4805	97449	i would like to know when is the due date for me to to make bill payment	1467419273	4409	0	17	English	Billing	Payment Channel	Billing	PaymentCycle	Object	False	WhenPaymentLastDay
231	5696	110106	ok,i will try it. i want to ask when i will get my first bill	1467787654	4972	0	15	English	Billing	Make Payment - Selfcare	Billing	PaymentCycle	Object	False	WhenBillUpdate
235	5775	110955	Hi. I would like to know my jom bay biller's code... i want to pay my bills with cimb click.	1467883589	5008	0	20	English	Billing	Payment Channel	Billing	PaymentChannel	ObjectName	False	PayWho
267	6551	120126	I fread filemon.customer red 1.. Now how to make payments through online..	1468375979	5396	0	12	English	Billing	Payment Channel	Billing	PaymentChannel	Procedure	False	HowPay
305	7538	147725	i performing online payment right now	1469151767	6547	0	6	English	Billing	Billing Details	Billing	PaymentChannel	None	False	None
645	15424	298399	ok..understand...normally u will give the bill on 1 st of the month right? so i will pay before 15 th	1474426605	12764	0	18	English	Billing	Billing Details	Billing	PaymentCycle	ObjectTime	True	WhenBillUpdate
775	18502	307541	i use jom pay	1474879329	13155	0	4	English	Billing	Payment Status	Billing	PaymentChannel	None	False	None
775	18503	307548	through cimb jompay	1474879439	13155	0	3	English	Billing	Payment Status	Billing	PaymentChannel	None	False	None
856	20429	313498	HI<NL>may i know when this number will renew the billing each month? 01155011735 	1475051937	13408	0	13	English	Billing	Billing Cycle	Billing	PaymentCycle	ObjectTime	False	WhenBillUpdate
1271	31199	354102	i've received a notification to make a payment rm 38.59 before 14 oct	1476323255	15151	0	12	English	Billing	Make Payment - Selfcare	Billing	PaymentCycle	None	False	None
1290	31670	355457	invoice date should be on 1 / 7 / 2016 and due date is 31 / 7 / 2016 	1476341743	15218	0	11	English	Billing	Billing Details	Billing	PaymentCycle	None	False	None
1300	31965	355908	so this account when is the due date?	1476347683	15233	0	8	English	Billing	Make Payment - Selfcare	Billing	PaymentCycle	ObjectTime	False	WhenPaymentLastDay
1300	31966	355909	for the sept inv due date...	1476347709	15233	0	6	English	Billing	Make Payment - Selfcare	Billing	PaymentCycle	ObjectTime	False	WhenPaymentLastDay
